원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W3-S01,shell.html,1,"에이전트 팀과 함께, 오늘 세상에 내놓습니다",3주차 표지 — 지휘·판정·공개,표지,고정슬라이드,본편,3차시,shell,1,M1,"[본문] 전: .track 「3주 아카데미」 · .s-team 「WEEK 03 / 03」 · .cover-lead 「WEEK 03 · 지휘하고 판정하고 공개하기」 · .cover-title 「에이전트 팀과 함께, 오늘 세상에 내놓습니다」 · .cover-terminal 「담당을 나눠 검토하게 하고, 배포까지 진행합니다」 · .cover-presenter 「바이브코딩 3주 아카데미」 → 후: 「3차시 과정」 · 「3차시 3 / 3」 · 「3차시 · 데이터에서 결과물까지」 · 「데이터에서, 직접 확인한 결과물까지」 · 「CSV 하나로 대시보드와 문서를 만들고, 숫자는 원본과 대조합니다」 · 「AI 코딩 에이전트 입문」. .s-brand 「VIBECODING」은 유지. [SVG/접근성] 표지 장식 SVG(폴리곤·원)는 <text> 0건 · aria-label 0건(전부 aria-hidden) — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 7 중 1 유지 = 14% — 구조 슬라이드(표지) 예외로 보존.",브랜드 워드마크 VIBECODING은 profile.md §5에 따라 유지. 하단 과정명 캡션만 교체.,0.5,표지 문구는 M1(과정명·날짜·회차 문구) 범위. 구조·CSS 클래스·SVG 불변으로 복사.
VC-W3-S02,shell.html,2,오늘의 약속,AI가 작성하고 사람이 검토하고 사람이 결정한다 — 과정 관통 문장,관통메시지,declaration,본편,3차시,shell,2,M4,"[본문] 전: s-eyebrow 「3주차」 · 밴드 태그 「지난주까지」/「오늘 붙는 두 칸」 · 뒤 두 칸 「사람이 공개를 결정하며」/「공개의 책임도 사람이 집니다」 · s-lead 「공개할지 정하는 것도, 공개한 뒤 책임지는 것도 사람입니다」 → 후: 「3차시」 · 「1·2차시까지」/「3차시에 붙는 두 칸」 · 「사람이 원본을 지키고」/「사람이 숫자를 대조합니다」 · 「원본을 지키는 것도, 숫자가 맞는지 정하는 것도 사람입니다」. 앞 두 칸 「AI가 작성하고」/「사람이 검토하고」와 제목 「오늘의 약속」은 원문 그대로. [SVG/접근성] <text> 0건(도해가 .w3-vow div 격자) · aria-label 1건 전: 「지난주까지의 두 칸에 오늘 두 칸이 더 붙는다: AI가 작성하고, 사람이 검토하고, 사람이 공개를 결정하며, 공개의 책임도 사람이 진다」 → 후: 「1·2차시까지의 두 칸에 오늘 두 칸이 더 붙는다: AI가 작성하고, 사람이 검토하고, 사람이 원본을 지키고, 사람이 숫자를 대조한다」. [생존] 텍스트 단위 11 중 4 유지 = 36%.",80% 보존 규칙의 명시적 예외(문장 생존 약 60%). 앞 두 칸은 원문 그대로 두고 뒤 두 칸만 교체. 확정 문구는 결정요청 D-02.,1.0,"핵심 메시지 「AI가 작성하고, 사람이 검토하고, 사람이 결정한다」의 실체 슬라이드 — 브리프 §3에 따라 각 차시에 실제 슬라이드로 존재해야 하므로 최우선 보존."
VC-W3-S03,shell.html,3,오늘부터 AI는 한 명이 아닙니다,역할이 갈리면 의견도 갈린다 — 누구 말을 들을지 정하는 사람이 당신,도입,contrast,본편,3차시,part-06,48,M4,"[본문] 전: 우측 p 「네 담당이 각자 다른 파일을 맡습니다」 · callout 「담당이 다르면 의견도 갈립니다. 그건 고장이 아니라 정상입니다 — 갈렸을 때 누구 말을 들을지 정하는 사람, 그게 오늘 여러분의 자리입니다」 → 후: p 「네 가지 일을 나누고, 마지막 「검토」는 만든 쪽에 맡기지 않습니다」 · callout 「만든 쪽과 검토한 쪽의 답이 갈립니다. 그건 고장이 아니라 정상입니다 — 갈렸을 때 누구 말을 들을지 정하는 사람, 그게 오늘 여러분의 자리입니다」. 제목 「오늘부터 AI는 한 명이 아닙니다」 · 좌측 h3 「지금까지」 · p 「AI 하나와 대화했습니다」는 원문 그대로. [SVG/접근성] <text> 5건 전: 「대화창 하나」 · 「HTML」 · 「CSS」 · 「JS」 · 「QA」 → 후: 「대화창 하나」(유지) · 「정리」 · 「계산」 · 「제작」 · 「검토」 — rect 4개 · 좌표 · fill 변수(blue/mint/coral/periwinkle) 전부 불변, 텍스트 노드 4건만 교체. aria-label 2건 전: 「대화창 하나만 있는 그림」(유지) / 「HTML CSS JS QA 네 담당이 각자 다른 파일을 맡은 그림」 → 후: 「정리 계산 제작 검토 네 가지 일을 각각 따로 맡긴 그림」. [생존] 텍스트 단위 14 중 7 유지 = 50%.","오케스트레이터 판정(attempt-02) — 4박스를 2역할로 줄이면 SVG 구조가 바뀌므로, 박스 수를 그대로 두고 「3차시에 시키는 네 가지 일」로 재지정하고 마지막 칸 「검토」가 역할 분리를 담게 했다. 「담당」→「역할」 재지정은 D-01 해석 계열.",1.0,3차시 개념 「제작자와 검토자 역할 분리」에 직접 대응. 오프닝에서 PART 6(대조·검토) 도입부로 옮겨 개념이 실제로 쓰이는 자리에 붙인다. SVG 구조 불변 + 텍스트 노드만 교체가 성립해 보존. 생존율 실측은 변경내용 [생존] 항 참조.
VC-W3-S04,shell.html,4,지난주에서 이번 주로,이전 차시 결과물을 그대로 이어 쓴다,도입,flow,제외,없음,없음,없음,없음,제외(X-소재) · flow 3박스 골격(2주차 끝 → 오늘 하는 일 → 3주차 끝)은 M6 N-32 「지난 차시에서 이번 차시로」가 재사용. [SVG/접근성] <text> 10건 전: 「2주차 끝」 · 「내 MVP 하나」 · 「내 컴퓨터에서만」 · 「오늘 하는 일」 · 「팀으로 다듬고」 · 「기록하고 · 공개하기」 · 「3주차 끝」 · 「열리는 주소」 · 「누구나 열 수 있게」 · 「쓰는 폴더는 하나입니다 - 2주차에 만든 그 폴더」 → 후: 10건 전량이 교체 대상(전부 「MVP를 공개한다」는 3주차 서사 전용). aria-label 1건 전: 「내 컴퓨터에서만 열리던 MVP가 다듬기와 기록을 거쳐 누구나 열 수 있는 주소가 되는 흐름」 → 후: 역시 전량 교체. 본문 w3-def와 callout 「새 프로젝트를 만들지 않습니다」도 교체 대상. [생존] 텍스트 단위 15 중 1 유지 = 7%.,N-32가 이 SVG 골격(rect 3 · path 2 · text 10의 좌표와 폰트 크기)을 그대로 물려받되 텍스트는 전량 새로 쓴다 — 조립 담당이 좌표를 옮겨 적을 것. 화면 위치(오프닝 3번째)는 그대로다.,0,오케스트레이터 판정(attempt-02 · 독립 검토 R-MAP3 치명 1). SVG 텍스트 10건 + 본문 + callout이 전부 3주차 MVP 공개 서사라 텍스트 생존 7%. 구조 슬라이드 예외(표지·간지·로드맵·마무리)에도 강제 메시지 6에도 해당하지 않아 보존이 아니라 골격 재사용 — 제외 + M6 대체.
VC-W3-S05,shell.html,5,오늘 배우게 될 것,여섯 구간마다 손에 남는 결과가 하나씩,도입,flow,본편,3차시,shell,4,M4,"[본문] 전: 6구간 라벨/부제 「백업과 첫 움직임 — 실행 확인 · 백업 · 화면에 움직임 넣기」 · 「싱글 · 서브 · 멀티 에이전트 — 싱글 · 서브 · 멀티」 · 「담당 나누기와 팀 규칙 — HTML · CSS · JS · QA」 · 「병렬 검토 · 결과 판정 · 구현 — 엇갈린 결과를 근거로 정합니다」 · 「플러그인 · MCP · GitHub 기록 — 저장소 · 커밋 · 안전 점검」 · 「배포와 공유 범위 — 공유 범위 · URL 자가 점검」 → 후: 「Agent가 다루는 파일과 CSV 구조 — 파일 범위 · 2,424행 20열」 · 「중복 · 결측 · 이상값 — 품질 진단 표 한 장」 · 「답할 수 있는 질문과 지표 정의 — 지표정의.json」 · 「계획 검토 · 승인 · 원본 보존 — 승인 지점과 원본 사본」 · 「HTML 데이터 대시보드 — dashboard.html」 · 「대조 · 정리 · 확장 — 대조 결과와 분석결과.md」. 제목 「오늘 배우게 될 것」 · an-intro 「여섯 구간을 지납니다 / 구간마다 손에 남는 결과가 하나씩 생깁니다」 · 번호 1~6은 원문 그대로. [SVG/접근성] <text> 0건 · aria-label 0건 — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 21 중 9 유지 = 43% — 구조 슬라이드(과정 개요) 예외.",없음,1.0,덱의 구조 안내 슬라이드 — 새 차시 PART 구성으로 재지정(M4). 6칸 구조를 그대로 쓰려고 새 PART도 6개로 맞췄다.
VC-W3-P1,part-01.html,6,백업과 첫 움직임,PART 1 간지,파트간지,고정슬라이드,본편,3차시,part-01,5,M4,"[본문] 전: PART 제목 「백업과 첫 움직임」 → 후: 「Agent가 다루는 파일과 CSV 구조」. 부제(.pd-sub) 전: 「손대기 전에 지키고, 화면에 생기를 더합니다.」 → 후: 「코드만이 아닙니다. 오늘 다루는 것은 데이터입니다.」 — attempt-03 등재(조립 때 옛 소재를 걷어 내며 바꿨으나 이 칸에 없던 변경 · 내용 유지). 도형·도트·PART n/N은 shell의 hydratePartDivider()가 채우는 빈 훅이라 손대지 않는다. [SVG/접근성] .dv-hero SVG는 빈 훅(<text> 0건 · aria-hidden) · aria-label 0건 — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 3 중 1 유지 = 33%(부제 교체 반영) — 구조 슬라이드(간지) 예외.",hydratePartDivider()가 도형·도트·PART n/N을 자동 생성하는 빈 훅 구조를 그대로 유지해야 한다.,0.3,파트 간지는 덱의 구조 표지 — 새 차시 PART 구성으로 재지정(M4). 구도·SVG 훅 불변.
VC-W3-M1,part-01.html,7,PART 1은 이렇게 배웁니다,PART 1 로드맵 5스텝,파트로드맵,flow,본편,3차시,part-01,6,M4,"[본문] 전: rm-lead 「백업이 끝난 다음에야 코드를 만집니다. 순서 자체가 오늘의 교훈입니다.」 · 5단계 「구조를 확인한 다음에야 값을 만집니다. 순서 자체가 오늘의 교훈입니다.」 → 후: rm-lead 「하네스 복습 / MVP 실행 확인 / 백업 / 첫 움직임 넣기 / 공개 금지 파일 점검」 · 5단계 「하네스 복습(「지난주에 배운 작업 틀」→「2차시에 배운 작업 틀」) / 다루는 파일 넓히기 / 오늘 쓰는 CSV / 열 20개 나누기 / 실습① 구조부터 확인」. 각 단계의 desc 한 줄과 rm-out(산출물 라벨)도 같은 규칙으로 새 PART 구성에 맞춰 교체하며, .rm-track.is-5 골격 · 번호 1~5 · 화살표 4개는 불변. [SVG/접근성] <text> 0건 · aria-label 0건(로드맵이 div 트랙) — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 23 중 2 유지 = 9% — 구조 슬라이드(로드맵) 예외.",없음,0.7,구조 안내 슬라이드(rm-track is-5) — 새 PART 1 내용으로 재지정(M4). 5스텝 골격 유지.
VC-W3-V1-01,part-01.html,8,하네스,맡기기 전에 목표·읽을 자료·권한·완료 조건을 정해 두고 끝나면 확인한다,개념정의,concept,본편,3차시,part-01,8,M4,[본문] 전: s-eyebrow 「지난주에 배운 용어」 → 후: 「2차시에 배운 용어」. 제목 「하네스」 · 5칸(목표 / 읽을 자료 / 권한 / 완료 조건 / 사후 확인) · 안전벨트 비유 callout · 본문 2문장은 원문 그대로. [SVG/접근성] <text> 0건 · aria-label 0건 · <img alt> 1건 「고삐로 말을 다루듯 하네스로 AI에게 일을 맡기는 비유 그림」 → 후: 원문 그대로(도구·주차 독립) — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 21 중 20 유지 = 95%.,삽화 자산 자료/images/s81_harness-horse-metaphor-v1-transparent.png를 새 차시 sessions/3주차/자료/images/로 복사해야 화면이 뜬다 — 조립 담당 확인 사항.,1.5,생존율 실측은 변경내용 [생존] 항 참조. 「권한」·「읽을 자료」 두 칸이 3차시 「확인→계획→승인→실행」과 「파일 활용 범위」의 토대라 본편 유지.
VC-W3-V1-10,part-01.html,9,AGENTS.md 는 조언이지 자물쇠가 아닙니다,규칙은 방향을 주지만 막지는 못한다 — 보증하는 것은 확인이다,개념,contrast,본편,3차시,part-04,27,M4,[본문] 전: 제목 「AGENTS.md는 조언이지 자물쇠가 아닙니다」 · s-lead 「AGENTS.md는 에이전트가 먼저 읽는 안내문입니다」 → 후: 제목 「기준 파일은 조언이지 자물쇠가 아닙니다」 · s-lead 「분석계획.md와 정제기준.md는 Agent가 먼저 읽는 안내문입니다」. 좌우 블록 6문장(무엇을 먼저 읽을지 / 어떤 기준으로 판단할지 / 방향을 줍니다 / 어기지 못하게 막지는 못합니다 / 권한과 확인이 늘 함께 붙습니다 / 결과를 보증하는 건 확인입니다)과 도서관 「정숙」 비유 callout은 원문 그대로. [SVG/접근성] <text> 0건 · aria-label 0건 — 전 → 후 교체 대상 없음. [생존] 텍스트 단위 12 중 10 유지 = 83%.,파일명을 3차시 산출물명으로 바꾸는 것을 M4(다른 차시 산출물 참조 재지정)로 처리했다 — D-01과 같은 해석 계열.,1.5,3차시 개념 「기준을 파일에 남긴다」와 강제 메시지 3의 보조 슬라이드. 파일 이름 2곳 외에는 전부 원문이라 M4 표준 사례. 생존율 실측은 변경내용 [생존] 항 참조.
VC-W3-V1-02,part-01.html,10,고치기 전에 해 둘 두 가지,코드에 손대기 전 실행 확인과 백업,개념,sequence,제외,없음,없음,없음,없음,제외 · 골격 재사용 없음(같은 자리를 V1-05 보존본이 맡는다),「손대기 전에 두 가지」라는 틀 자체는 3차시에도 유효하나(구조 확인 + 원본 사본) 본문 두 칸이 모두 3주차 전용 문장이다.,0,보존 판정 규칙 미달 — 본문 소재가 3주차 프로젝트 전용이라 데이터 맥락으로 옮기려면 문장 전량 재작성. 허용 수정 6종(M1·M2·M4·M5) 어디에도 들어가지 않아 M6 신규로 대체.
