원본ID,원본파일,원본번호,제목,핵심메시지,교육적역할,시각유형,새처리상태,새차시,새part,새순서,변경유형,변경내용,보존유보,예상분,판정근거
VC-W1x-S00,shell.html,1,AI와 함께 만드는 나의 첫 웹사이트,3차시 과정 전체를 한 화면으로 연다,표지·과정 프레이밍,이미지+3열 여정 카드,본편,1차시,shell,1,M1,"«VIBECODING · 3 WEEKS»→«VIBECODING · 3차시» / «AI와 함께 만드는 나의 첫 웹사이트»→«AI 코딩 에이전트 입문» / 부제 «비전공자가 AI 코딩 에이전트와 함께 아이디어를 화면으로 만들고, 직접 확인하고 고쳐서, 인터넷에 공개하기까지»→«자연어 요청으로 웹 결과물·조사 Agent·데이터 대시보드까지» / 3칸 카드 «1주차 첫 화면 만들기·2주차 기능 있는 제품으로·3주차 웹에 공개하기»→«1차시 타자 게임 만들기·2차시 뉴스 조사 Agent·3차시 데이터 대시보드»",표지 이미지 3종·3칸 카드 구조·paper-cut 아트 유지,1.0,브리프 §4 M1(회차 표기) · 커리큘럼_기준안 3차시 구성
VC-W1x-S01,shell.html,2,AI 코딩 에이전트와 협업해 첫 자기소개 웹페이지 만들기,오늘 만들 결과물을 한 문장으로 선언,차시 표지·결과물 선언,터미널 프롬프트 목업,본편,1차시,shell,2,M1+M2,킥커(s-team) «WEEK 1 / 3»→«1차시 / 3» / «WEEK 1 · AI와 함께 첫 화면을 만들고 확인하기»→«1차시 · AI와 함께 첫 웹 결과물을 만들고 확인하기» / 제목 «첫 자기소개 웹페이지 만들기»→«첫 웹 타자 게임 만들기» / 프롬프트 «내가 정한 조건으로 자기소개 웹페이지 만들어줘.»→«브라우저에서 실행할 수 있는 간단한 타자 게임을 만들어줘.» / 하단 «VIBECODING WEEK 1»→«VIBECODING 1차시»,터미널 프롬프트 목업 구조·브랜드 VIBECODING 워드마크 유지,0.8,원문01 L43·L109 «자연어 요청만으로 간단한 웹 기반 타자 게임» · 커리큘럼 1차시 실습3
VC-W1x-S01A,shell.html,3,AI. 어떻게 사용하고 계신가요?,AI를 쓸 수 있느냐보다 어떻게 일을 맡기느냐가 중요하다,도입 질문·동기 부여,이미지+중앙 문장,본편,1차시,shell,3,없음,그대로 복사,«어떻게 일을 맡기느냐» 민트 강조·paper-cut 이미지 유지,0.8,과정 관통 문장(profile §1)과 동일 명제 — 도구 중립
VC-W1x-S01B,shell.html,4,해줘.,가장 흔한 요청 형태를 한 단어로 제시,전환 선언(1/2),초대형 텍스트 전면,본편,1차시,shell,4,없음,그대로 복사,no-page-number 클래스·초대형 타이포 유지,0.2,도구·소재 비종속 · S01C와 짝 슬라이드
VC-W1x-S01C,shell.html,5,«해줘»로 시작은 됩니다,시작은 되지만 방법을 알아야 시행착오가 준다,전환 선언(2/2),중앙 문장 단,본편,1차시,shell,5,없음,그대로 복사,«해줘» 인용부호 표기와 S3DO(«해.»)와의 대구 구조 유지,0.5,도구·소재 비종속 · S3DO와 수미상관
VC-W1x-05,shell.html,6,3주 전체 여정,1→2→3차시가 무엇으로 이어지는지 보여준다,과정 지도,이미지 3열 타임라인,본편,1차시,shell,6,M1+M4,"«3주 전체 여정»→«3차시 전체 여정» / 킥커(s-team) «WEEK 1<br>AI와 첫 웹페이지»→«1차시<br>AI와 첫 웹 결과물» / 1주차 «요청하고, 확인하고, 고치기 / index.html을 열고 내 소개가 보이는지 확인한 뒤 한 곳을 바꿉니다»→«요청하고, 확인하고, 고치기 / 타자 게임을 브라우저에서 열어 확인한 뒤 한 가지를 바꿉니다» / 2주차 «문제와 기능을 MVP로 만들기»→«2차시 · 뉴스 조사 Agent 만들기 / 조사 기준을 파일로 정하고 Agent가 반복 실행하게 합니다» / 3주차 «웹에 공개하고 더 나아지게 하기»→«3차시 · 데이터에서 결과물까지 / CSV를 검증해 대시보드와 분석 문서로 확장합니다» / aria/alt: aria-label «3주 학습 여정»→«3차시 학습 여정» / alt 3개의 «1주차 흐름»·«2주차 흐름»·«3주차 흐름»→«1차시 흐름»·«2차시 흐름»·«3차시 흐름»(이미지 자체는 유지 — D-06)",3열 타임라인 구조·주차별 paper-cut 이미지 3종 유지(교체 필요 시 결정요청 D-06),1.0,커리큘럼_기준안 1·2·3차시 실습 · 브리프 §4 M4(상호참조)
VC-W1x-S02,shell.html,7,오늘의 목표 — 내 소개 페이지를 만들고 직접 고칩니다,수업이 끝나면 내 작업물을 직접 열어 확인할 수 있다,차시 목표 선언,이미지+중앙 문장,본편,1차시,shell,7,M1+M2,킥커(s-team) «WEEK 1<br>첫 웹페이지»→«1차시<br>첫 웹 결과물» / «내 소개 페이지를 만들고 직접 고칩니다»→«타자 게임을 만들고 직접 고칩니다» / 본문 «수업이 끝나면 내 작업물을 열어 결과를 확인할 수 있습니다»는 그대로,«직접 고칩니다» 민트 강조·«내 작업물을 열어 결과를 확인» 문장 유지,0.7,커리큘럼 1차시 결과물 «웹 기반 타자 게임»
VC-W1x-S03,shell.html,8,오늘 배우게 될 것,6개 단계로 오늘의 흐름을 예고한다,목차·기대 설정,번호 6항목 목록,본편,1차시,shell,8,M5+M1,6항목→5항목 재구성: «1 바이브코딩이란?/오늘 쓸 도구와 말»→«1 AI와 Coding Agent/무엇이 다른가» · 신설 «2 AI를 믿는 방법/할루시네이션·아첨·변동성» · «2 안전한 연습 공간 만들기/폴더·파일·권한»→«3 안전한 작업 환경/설치·폴더·권한» · «3 요청 잘하는 법과 첫 페이지 만들기»→«4 첫 웹 결과물 만들기/요청·확인·실행» · «4 그대로 둘 것과 바꿀 것»+«5 오류 대응과 마무리»→«5 고치고 다시 확인하기/한 번에 하나씩» · «6 직접 만들어 보기» 삭제(수강생참고로 이동) / aria/alt: aria-label «오늘 배울 여섯 가지»→«오늘 배울 다섯 가지»(6항목→5항목 재구성과 연동),번호+제목+한줄설명 3단 구조 · 항목 수는 새 PART 수(5)와 반드시 일치,0.8,브리프 §4 M5 · 새 PART 구조 5종과 정합
VC-W1x-S05A,shell.html,9,오늘의 결과물 — 내 이야기를 담은 첫 포트폴리오 페이지,오늘 수업이 끝나면 이런 페이지가 내 컴퓨터에 남습니다,결과물 선례 제시,전면 목업(포트폴리오 페이지),제외,없음,없음,없음,M3,제외 — 슬라이드 전면이 «자기소개 포트폴리오 페이지» 목업이라 웹 타자 게임과 정면 충돌한다. 문안·SVG·이미지가 전부 포트폴리오 전용이라 부분 치환이 불가능. 신규 대체 슬라이드를 만들지 않고 S39(브라우저 결과 화면)가 «결과물 선례» 역할을 겸한다,«오늘 수업이 끝나면 이런 결과물이 내 컴퓨터에 남습니다»라는 기대 설정 메시지는 S02가 이미 담당 — 유실 없음,0,브리프 §4 M3(제외 주제·중복 제거) · 커리큘럼_기준안 차시별 개념 배정
VC-W1x-P1,part-01.html,10,PART 1 · 바이브코딩이란?,문장을 만드는 AI에서 파일을 다루는 작업 파트너까지,파트 구분자,파트 디바이더,본편,1차시,part-01,1,M1,"«바이브코딩이란?»→«AI와 Coding Agent» / 부제 «문장을 만드는 AI에서 파일을 다루는 작업 파트너까지, 오늘 사용할 도구의 역할을 구분합니다»는 그대로",part-divider 클래스·PART 배지 구조 유지,0.4,과정명이 «AI 코딩 에이전트 입문»으로 바뀜 · 브리프 §4 M1
